year,plot,column,row,accession,SampleName,DTF,DTH,PtHt,PcleLng,SdLen,TGW,SdWpPlot,SdW_z
2017,84,2,88,Ames-13720,NA,NA,NA,141,NA,NA,NA,189.22,0.897676918
2017,86,2,90,D-11954,NA,NA,NA,128,NA,NA,NA,49.71,-0.734069164
2017,87,2,91,D-9984,NA,NA,NA,130,NA,NA,NA,183.9,0.835452782
2017,88,2,92,PUC-mix-red,KATA1A4_RH5,NA,NA,123,NA,NA,NA,133.05,0.240697652
2017,89,2,93,D-12286,S204_batch3,NA,NA,145,NA,NA,NA,154.29,0.489126343
2017,90,2,94,D-12411,S739_batch3,NA,NA,135,NA,NA,NA,44.75,-0.792082644
2017,92,2,96,PI-614885,S1C9_batch1,NA,NA,160,NA,NA,NA,142.64,0.352864843
2017,93,2,97,D-9976,NA,NA,NA,160,NA,NA,NA,37.55,-0.87629576
2017,94,2,98,D-11980,S1E2_batch1,NA,NA,124,NA,NA,NA,272.05,1.866478638
2017,95,2,99,CHEN-410,NA,NA,NA,73,NA,NA,NA,NA,NA
2017,96,2,100,CHEN-471,KATA3A1_RA5,NA,NA,160,NA,NA,NA,207.26,1.108677558
2017,97,2,101,CHEN-238,S1D3_batch2,NA,NA,5,NA,NA,NA,NA,NA
2017,100,2,104,D-12301,S6G2_batch2,NA,NA,125,NA,NA,NA,NA,NA
2017,102,2,106,D-12073,NA,NA,NA,103,NA,NA,NA,186.49,0.865746112
2017,104,2,108,D-12270,NA,NA,NA,78,NA,NA,NA,NA,NA
2017,105,2,109,CHEN-318,S7F4_batch2,NA,NA,159,NA,NA,NA,46.74,-0.768807075
2017,106,2,110,D-12317,S6G1_batch2,NA,NA,138,NA,NA,NA,NA,NA
2017,107,2,111,D-12248,NA,NA,NA,135,NA,NA,NA,NA,NA
2017,110,2,114,D-9978,NA,NA,NA,77,NA,NA,NA,NA,NA
2017,111,2,115,Regalona,S1C5_batch1,NA,NA,NA,NA,NA,NA,110.03,-0.028550394
