"iteration","fold","trait","location","pearson","ndcg_at_10","seed","n_test_genotypes"
1,4,"DTH_mean","PAK",0.220959208912134,0.788213843911695,1001,63
1,4,"PcleLng_blue","AUS",0.322272997975744,0.631623114666589,1001,102
1,4,"PcleLng_blue","PAK",-0.0975724658936059,0.5017027400902,1001,66
1,4,"SdW_z_blue","AUS",0.235376120611234,0.651901605455393,1001,106
1,4,"SdW_z_blue","PAK",-0.125274208687242,0.481685665589404,1001,63
1,4,"TGW_blue","AUS",0.465577557509466,0.725559422265793,1001,100
1,4,"TGW_blue","PAK",0.10604883634181,0.664301446319877,1001,63
1,4,"SdLen_blue","AUS",0.528055428519109,0.761968044093693,1001,100
1,4,"SdLen_blue","PAK",0.287238887518142,0.757412556258185,1001,63
1,4,"DTF_blue","AUS",0.203805260308058,0.778453202073665,1001,102
1,4,"DTF_blue","PAK",0.285680010190741,0.626770109596832,1001,65
1,4,"DTH_blue","AUS",0.414128104408972,0.789506314329682,1001,101
1,4,"DTH_blue","PAK",0.231007289629367,0.787185638142655,1001,63
1,5,"PcleLng_mean","AUS",0.285424843002695,0.567016936575005,1001,106
1,5,"PcleLng_mean","PAK",0.160720702407471,0.530882864581433,1001,60
1,5,"SdW_mean","AUS",0.485769481616937,0.870808715825237,1001,109
1,5,"SdW_mean","PAK",0.136141787279301,0.6384123293367,1001,53
1,5,"TGW_mean","AUS",0.497968355353272,0.698521025120694,1001,103
1,5,"TGW_mean","PAK",0.215886978730235,0.750361467850549,1001,53
1,5,"SdLen_mean","AUS",0.541737824397078,0.797099114506535,1001,103
1,5,"SdLen_mean","PAK",0.0251652680901,0.604969039955074,1001,53
1,5,"DTF_mean","AUS",0.314164314426844,0.770231276611567,1001,106
1,5,"DTF_mean","PAK",0.355817897844721,0.865618406312983,1001,60
1,5,"DTH_mean","AUS",0.274391320453514,0.576340667808846,1001,105
1,5,"DTH_mean","PAK",0.279747487334904,0.777737009447566,1001,54
1,5,"PcleLng_blue","AUS",0.26239988074598,0.586442241102341,1001,106
1,5,"PcleLng_blue","PAK",0.18298073087641,0.528323038823345,1001,60
1,5,"SdW_z_blue","AUS",0.540554099333667,0.838363636470209,1001,109
1,5,"SdW_z_blue","PAK",0.128194791245155,0.581879054172669,1001,53
1,5,"TGW_blue","AUS",0.491128083880504,0.708579713693011,1001,103
1,5,"TGW_blue","PAK",0.204837568643922,0.76069993784477,1001,53
1,5,"SdLen_blue","AUS",0.542741756420863,0.808014320815594,1001,103
1,5,"SdLen_blue","PAK",0.0273084931705189,0.622599935390134,1001,53
1,5,"DTF_blue","AUS",0.28793837998992,0.765194511699834,1001,106
1,5,"DTF_blue","PAK",0.458711131105559,0.781538789587005,1001,60
1,5,"DTH_blue","AUS",0.263077739471637,0.571880799301555,1001,105
1,5,"DTH_blue","PAK",0.2949199805325,0.831818905904388,1001,54
2,1,"PcleLng_mean","AUS",0.397704073695251,0.678906380893636,1002,105
2,1,"PcleLng_mean","PAK",0.170427985707406,0.633580879317672,1002,51
2,1,"SdW_mean","AUS",0.428609247756926,0.77497102020896,1002,106
2,1,"SdW_mean","PAK",-0.0619107355057108,0.391974786759176,1002,48
2,1,"TGW_mean","AUS",0.410514707673489,0.670116381006694,1002,102
2,1,"TGW_mean","PAK",-0.0510240825726532,0.686027585270737,1002,48
2,1,"SdLen_mean","AUS",0.408237510651557,0.691057822605674,1002,102
2,1,"SdLen_mean","PAK",0.0328070667129386,0.658901993182251,1002,48
