sample.id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
S3H3_batch1,0.0359141430394334,-0.0160121556369483,-0.0622949314030101,0.0167248832040856,-0.000146965060326176,-0.102168984239003,0.198071927788571,-0.0129270758270034,0.0308079564071557,-0.0385004587063262,-0.0519501481214036,-0.00199227057125343,0.0564699158204807,-0.0553337040223757,-0.0273756973513742,-0.00870963960214835,-0.0777044463443515,-0.0169891381592942,-0.0457239138189451,-0.0418778670217437,-0.0242365641672637,-0.0437032079911768,-0.00282609324360683,0.0130139434280449,0.0721212910156236,0.0215930363667637,0.0112919627453822,0.0132808489497883,-0.0132244217754025,0.0961477059866573,-0.0700921068280399,0.0499327366427637
S47_batch3,-0.0776938328442225,-0.0190295022588074,-0.00613999142910643,-0.00778217558551522,-0.0727577204183056,-0.00692025389370399,0.00232365759540223,0.0779247016270199,-0.046197809340076,-0.0657667175122659,0.0375746412525518,0.00245562897708649,0.0131125341202409,-0.00196958909052668,0.00216665365945523,0.00692449616735675,-0.0324084087996976,0.0356906552358182,0.0232393604825635,-0.0101363860502426,0.0141138934775257,0.043429456402722,0.0335901496053737,-0.0200099001604873,0.0740499272640415,-0.0355612056095695,0.0119987982123212,-0.0243037205384327,0.00229167635151497,-0.0499208183090344,-0.00547620772857797,0.0313550120686472
S11_batch3,0.0322197162399447,-0.00289433802680996,0.0283576643273353,0.0639167927445052,0.0130081237628219,0.0148025930418003,-0.0256283270078491,0.00507610918341388,0.0233188774274078,0.0082354993375844,0.0228051097639787,0.0721660789576277,-0.0550724886035512,-0.0874134448906759,-0.00672138852566127,-0.0428632934219951,-0.124434782774875,-0.130056304721806,-0.0509234378417889,-0.130135616963326,0.0789034355193782,-0.102646908494126,-0.0162509784015502,-0.12481368995538,0.203036163291904,-0.0380253263854492,0.0821121896336504,0.0958603053646886,-0.00407056474269707,0.036732680384352,-0.03221905581105,-0.0305255978268382
S1F6_batch1,-0.059830384429658,-0.00735977456076577,0.00246953434922766,-0.0091276315619529,-0.0456242839314989,0.00580620973501009,0.0112314748498119,0.0844516043388473,-0.064203658994131,-0.067818689349378,0.0338300881496951,-0.00509528837117997,0.0307817042466066,0.00172807842031823,0.0108814075181956,0.0126803991409053,-0.0564126762836577,0.042777978383487,0.0493425569949787,-0.0236807881239559,0.0124626334008007,0.0299917148466679,0.0282987185706465,-0.0320231032967339,0.068724555902796,-0.13572678924873,0.077716537472615,-0.0464307167909574,0.0203739523533416,-0.0423169701397518,-0.0278417398258064,0.0676955925125892
S1C6_batch1,-0.0465387037409786,-0.00122819806720495,0.0156899174163426,0.0333336647129567,-0.0493413403134362,-0.00770148764620393,0.00384146266384711,0.0469634380176597,-0.0701433233268711,0.0485447412529308,-0.00991207106440266,-0.00679132165922888,-0.0114031121837365,0.00397054846075708,0.0340600726777607,0.00673296420434745,-0.0364072498281709,0.0126413132141887,0.00446276011814644,-0.00819811746681613,0.0083489991300752,-0.00544646154858197,-0.00954934506603219,-0.0152638366896993,-0.00689230553568003,-0.0922903425852188,0.0433990459461109,-0.00253332048720229,0.0828071066139755,0.0391766431882649,-0.06012716983486,-0.0284070450857684
KATRC10,-0.0571233469025507,-0.00291406773061544,0.00681641286855077,0.0182784352037307,-0.0583026873514963,0.00020209219253162,0.00608393958692066,0.0350004437737442,-0.0776878842046134,0.0126281409455336,-0.0144686927794827,0.00782673476577058,0.00119527510059641,0.00761702477980617,0.00224605897822629,0.00824686514303835,-0.0742432351199231,0.0233681932504801,-0.00503519205105526,0.0161341856946908,0.0830366357058133,0.0659829431326687,0.135853677596173,-0.0157788528272404,0.0105147142121153,-0.0265674696813457,-0.0101544595770846,-0.0202129197249103,0.0437282962907751,-0.00791653455815448,-0.0292459382916863,0.0258981558459073
S3A4_batch1,0.0420511173430566,-0.0534986744169599,0.0134040457244293,-0.0315296801783815,-0.00183551526366294,0.00748880672066119,-0.0116899868143095,0.00488189766008893,-0.00860706595856333,0.00790513076345337,-0.000106906559629101,-0.0349195079269498,-0.0404653634558859,-0.0445625774714235,-0.0374506180563516,0.0093434387211249,-0.011722370674356,-0.0184934209884175,0.0301259941200072,-0.0250986759763968,0.01408467828025,-0.00591957445124484,0.0095140680712803,0.0165629366231773,0.00103261557537255,-0.00314277263712438,-0.0090621438460927,0.0164153842145709,0.00321873964154704,0.00189750852297361,0.0142155929907508,0.00569069208761407
S1D11_batch1,-0.0301689667967927,0.0140435011253485,0.0293893940808824,0.0614409873717306,-0.0358896510809252,-0.00754194942979879,0.00280892784277749,0.000148325880168165,-0.101025739146488,0.0957010309470811,-0.0292834602860241,-0.000133072116205094,0.000878051020977989,0.0277211791563278,-0.0459632162672519,-0.0110806374510621,-0.0573557860655973,-0.0335199813151991,-0.0275552293462334,0.0550334580395689,0.117833221335315,0.0401126236965921,0.0856825490442711,0.0399646107506105,-0.0840861419321064,0.195068938288405,-0.144987210805821,0.0362153751302499,-0.0266032766040621,0.0996538452184969,0.0218935705504715,-0.0114402573502828
S1G9_batch1,-0.0410310873871704,0.00180815708702637,0.0117174921355502,0.0370461121250771,-0.0431599907778021,-0.0193943195565739,0.00928980247355289,0.0390944537999643,-0.0797992714007321,0.0236523353917621,-0.0188907614310114,-0.0020400561104763,-0.0134129746661377,0.019083069622485,0.0065428303556474,-0.00370154936246815,-0.037500258391065,0.0095526094476076,-0.0118079864430436,0.0165309198825219,0.0371239054214353,0.00633009936239258,0.00588290505566986,0.00156462562992631,0.0449636981970564,-0.0017171688899709,-0.0319006857855278,-0.0039015792113229,0.049312749005674,-0.029853998952691,-0.0466123867517673,-0.00671005805455745
S2C3_batch1,-0.0293421127113512,-0.00116068482025026,0.0178610486085529,0.0280049951819764,-0.0300706392837017,0.0111881237959649,0.00154955556627699,-0.0241543562719408,0.031293975369395,0.0396250491209794,0.0384512240929906,-0.000835094619349239,0.107530549083117,0.0467573363646656,-0.057399291884079,0.0174360898327893,-0.0593822187157512,0.0333609970002371,0.026801262324552,-0.0190151330009827,-0.0127551164505029,-0.00428205222436756,-0.00272176392723729,-0.00632820262133438,-0.0792977392174368,-0.031393656171505,0.0418166510020212,0.0440770039899453,0.00506593831269638,0.0892326264711223,0.0530964940272627,0.0217041232345037
